"","fips","beds_licensed","beds_staffed","beds_ICU","beds_ICU_adult","beds_ICU_pediatric"
"2080",48127,25,25,4,4,0
"2081",48133,52,36,6,6,0
"2082",48135,638,510,34,34,79
"2083",48139,189,166,18,18,0
"2084",48141,2598,2265,246,246,140
"2085",48143,98,50,5,5,0
"2086",48145,36,36,6,6,0
"2087",48147,311,317,2,2,0
"2088",48149,65,38,7,7,0
"2089",48151,14,14,2,2,0
"2090",48153,25,25,4,4,0
"2091",48157,1175,1062,129,129,17
"2092",48161,37,37,6,6,0
"2093",48163,22,24,4,4,0
"2094",48165,33,25,4,4,0
"2095",48167,723,723,38,38,64
"2096",48171,84,57,10,10,0
"2097",48177,33,34,6,6,0
"2098",48179,109,97,8,8,0
"2099",48181,676,663,73,73,12
"2100",48183,741,644,62,62,52
"2101",48185,25,18,3,3,0
"2102",48187,153,117,9,9,0
"2103",48189,88,69,5,5,0
"2104",48193,25,42,7,7,0
"2105",48195,14,14,2,2,0
"2106",48197,24,24,4,4,0
"2107",48199,0,0,0,0,0
"2108",48201,15395,12809,1643,1643,635
"2109",48203,149,149,42,42,31
"2110",48205,21,21,4,4,0
"2111",48207,25,25,4,4,0
"2112",48209,435,391,79,79,4
"2113",48211,26,15,3,3,0
"2114",48213,127,127,10,10,0
"2115",48215,1421,1185,260,260,147
"2116",48217,25,25,4,4,0
"2117",48219,48,48,8,8,0
"2118",48221,73,48,12,12,0
"2119",48223,96,56,14,14,0
"2120",48225,25,25,4,4,0
"2121",48227,346,275,8,8,0
"2122",48231,221,176,16,16,0
"2123",48233,25,25,4,4,0
"2124",48237,17,17,3,3,0
"2125",48239,25,25,4,4,0
"2126",48241,59,40,6,6,0
"2127",48245,1198,1387,143,143,55
"2128",48249,135,72,8,8,0
"2129",48251,137,109,7,7,0
"2130",48253,45,7,1,1,0
"2131",48255,25,25,4,4,0
"2132",48257,379,351,8,8,0
"2133",48265,342,302,12,12,0
"2134",48267,15,15,3,3,0
"2135",48273,96,50,10,10,0
"2136",48275,25,28,5,5,0
"2137",48277,154,154,20,20,0
"2138",48279,75,42,7,7,0
"2139",48281,25,25,4,4,0
"2140",48285,48,50,7,7,0
"2141",48291,41,41,8,8,0
"2142",48293,78,69,9,9,0
"2143",48299,27,25,4,4,0
"2144",48303,2115,1954,338,338,91
"2145",48305,24,25,4,4,0
"2146",48307,25,14,6,6,0
"2147",48309,473,437,42,42,30
"2148",48313,25,15,3,3,0
"2149",48317,18,18,3,3,0
"2150",48321,75,63,9,9,0
"2151",48323,101,86,10,10,0
"2152",48325,25,25,4,4,0
"2153",48329,616,370,40,40,0
"2154",48335,25,25,4,4,0
"2155",48337,71,55,9,9,0
"2156",48339,1710,1698,212,212,50
"2157",48341,25,19,3,3,0
"2158",48347,392,297,27,27,16
"2159",48349,162,49,9,9,0
"2160",48353,86,39,5,5,0
"2161",48355,1356,1024,123,123,40
"2162",48357,25,25,4,4,0
"2163",48363,74,48,8,8,0
"2164",48365,42,42,7,7,0
"2165",48367,129,108,20,20,0
"2166",48369,25,25,4,4,0
"2167",48371,39,39,6,6,0
"2168",48373,66,52,8,8,0
"2169",48375,930,818,125,125,56
"2170",48383,7,7,1,1,0
"2171",48389,25,25,4,4,0
"2172",48391,20,20,3,3,0
